,event,rank,para_class,date,name,age,country,age_at_event
32948,European Youth Cup (L) - Munich (GER) 2018,35,YOUTH A MALE,2018-07-08,Tobias REIDEL,21,NOR,16
32949,European Youth Cup (L) - Imst (AUT) 2017,44,YOUTH B MALE,2017-05-28,Tobias REIDEL,21,NOR,15
32950,"Oceania Continental Championships &amp; Oceania Youth Championships (L,S,B) - Noumea (FRA) 2017",5,JUNIORS MALE,2017-10-15,Tobin ARMSTRONG,24,NZL,18
32951,IFSC World Cup Koper 2023,4,MEN,2023-09-09,Toby ROBERTS,18,GBR,18
32952,IFSC World Championships Bern 2023,9,MEN,2023-08-12,Toby ROBERTS,18,GBR,18
32953,IFSC World Cup Chamonix 2023,1,MEN,2023-07-09,Toby ROBERTS,18,GBR,18
32954,IFSC World Cup Villars 2023,4,MEN,2023-07-02,Toby ROBERTS,18,GBR,18
32955,IFSC World Cup Innsbruck 2023,16,MEN,2023-06-18,Toby ROBERTS,18,GBR,18
32956,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",3,MEN,2022-09-11,Toby ROBERTS,18,GBR,17
32957,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",2,YOUTH A MALE,2022-09-01,Toby ROBERTS,18,GBR,17
32958,"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",13,MEN,2022-08-18,Toby ROBERTS,18,GBR,17
32959,IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,18,MEN,2022-07-23,Toby ROBERTS,18,GBR,17
32960,"IFSC Europe - Continental Cup (L,S) - Žilina (SVK) 2022",1,MEN,2022-07-17,Toby ROBERTS,18,GBR,17
32961,"IFSC Europe - Continental Youth Championship (L,S) - Augsburg (GER) 2022",1,YOUTH A MALE,2022-07-10,Toby ROBERTS,18,GBR,17
32962,"IFSC Europe - Continental Cup (L,S) - Arco (ITA) 2022",21,MEN,2022-06-05,Toby ROBERTS,18,GBR,17
32963,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",7,YOUTH A MALE,2021-08-31,Toby ROBERTS,18,GBR,16
32964,"European Youth Championships (L,S) - Voronezh (RUS) 2019",2,YOUTH B MALE,2019-10-20,Toby ROBERTS,18,GBR,14
32965,IFSC Youth World Championships - Arco (ITA) 2019,6,YOUTH B MALE,2019-08-31,Toby ROBERTS,18,GBR,14
32966,"European Youth Cup (S,L) - Imst (AUT) 2019",11,YOUTH B MALE,2019-08-04,Toby ROBERTS,18,GBR,14
32967,European Youth Cup (L) - St. Pierre Faucigny (FRA) 2019,4,YOUTH B MALE,2019-06-30,Toby ROBERTS,18,GBR,14
32968,European Youth Cup (L) - Ostermundigen (SUI) 2019,9,YOUTH B MALE,2019-06-23,Toby ROBERTS,18,GBR,14
32969,Asian Youth Championships,10,YOUTH A MALE,2005-12-04,Tohma KUNIYA,35,JPN,17
32970,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",83,MEN,2018-07-07,Tom GAUQUELIN,25,FRA,20
32971,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,75,MEN,2017-07-13,Tom GAUQUELIN,25,FRA,19
32972,European Youth Cup (L) - Mitterdorf (AUT) 2015,12,YOUTH A MALE,2015-08-09,Tom GAUQUELIN,25,FRA,17
32973,IFSC Climbing World Championships - Hachioji (JPN) 2019,32,MEN,2019-08-21,Tom O'HALLORAN,31,AUS,27
32974,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,52,MEN,2019-07-20,Tom O'HALLORAN,31,AUS,27
32975,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",39,MEN,2019-07-13,Tom O'HALLORAN,31,AUS,27
32976,IFSC Climbing World Youth Championship - Sydney (AUS) 2008,41,YOUTH A MALE,2008-08-31,Tom O'HALLORAN,31,AUS,16
32977,IFSC Climbing World Youth Championship - Ibarra (ECU) 2007,12,YOUTH B MALE,2007-08-26,Tom O'HALLORAN,31,AUS,15
32978,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,11,YOUTH B MALE,2023-09-16,Tom STEELE,15,GBR,15
32979,IFSC Youth World Championships Seoul 2023,15,YOUTH B MALE,2023-08-27,Tom STEELE,15,GBR,15
32980,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",9,YOUTH B MALE,2023-07-02,Tom STEELE,15,GBR,15
32981,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,15,YOUTH B MALE,2023-06-25,Tom STEELE,15,GBR,15
32982,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",18,YOUTH B MALE,2022-09-01,Tom STEELE,15,GBR,14
32983,"IFSC Europe - Continental Youth Championship (L,S) - Augsburg (GER) 2022",7,YOUTH B MALE,2022-07-10,Tom STEELE,15,GBR,14
32984,IFSC Europe - Continental Youth Cup (L) - Dornbirn (AUT) 2022,7,YOUTH B MALE,2022-07-03,Tom STEELE,15,GBR,14
32985,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI) 2022,6,YOUTH B MALE,2022-06-26,Tom STEELE,15,GBR,14
32986,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",36,YOUTH A MALE,2021-08-31,Tomas CHICAIZA DAVILA,18,ECU,16
32987,IFSC World Cup Innsbruck 2023,93,MEN,2023-06-18,Tomas PLEVKO,24,SVK,24
32988,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,55,MEN,2022-09-03,Tomas PLEVKO,24,SVK,23
32989,"IFSC Europe - Continental Cup (L,S) - Žilina (SVK) 2022",33,MEN,2022-07-17,Tomas PLEVKO,24,SVK,23
32990,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",59,MEN,2021-09-21,Tomas PLEVKO,24,SVK,22
32991,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,58,MEN,2021-07-18,Tomas PLEVKO,24,SVK,22
32992,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,65,MEN,2021-07-13,Tomas PLEVKO,24,SVK,22
32993,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",57,MEN,2021-07-03,Tomas PLEVKO,24,SVK,22
32994,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",59,MEN,2021-06-26,Tomas PLEVKO,24,SVK,22
32995,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",16,MEN,2020-11-29,Tomas PLEVKO,24,SVK,21
32996,IFSC Climbing World Championships - Hachioji (JPN) 2019,58,MEN,2019-08-21,Tomas PLEVKO,24,SVK,20
32997,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,73,MEN,2019-07-20,Tomas PLEVKO,24,SVK,20
32998,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",41,MEN,2019-07-13,Tomas PLEVKO,24,SVK,20
32999,IFSC Climbing World Championships - Innsbruck (AUT) 2018,63,MEN,2018-09-16,Tomas PLEVKO,24,SVK,19
33000,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,57,MEN,2016-11-27,Tomas PLEVKO,24,SVK,17
33001,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",69,MEN,2016-08-27,Tomas PLEVKO,24,SVK,17
33002,European Youth Cup (L) - Mitterdorf (AUT) 2015,30,YOUTH A MALE,2015-08-09,Tomas PLEVKO,24,SVK,16
33003,European Youth Cup (L) - Imst (AUT) 2015,30,YOUTH A MALE,2015-05-31,Tomas PLEVKO,24,SVK,16
33004,European Youth Cup (L) - Imst (AUT) 2014,23,YOUTH B MALE,2014-06-01,Tomas PLEVKO,24,SVK,15
33005,IFSC World Youth Championship - Central Saanich (CAN) - 2013,14,YOUTH B MALE,2013-08-19,Tomas PLEVKO,24,SVK,14
33006,"European Youth Championship (L,S) - Imst (AUT) 2013",40,YOUTH B MALE,2013-07-28,Tomas PLEVKO,24,SVK,14
33007,"European Youth Cup (L, S) - Edinburgh (GBR) 2013",23,YOUTH B MALE,2013-06-09,Tomas PLEVKO,24,SVK,14
33008,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",31,MEN,2017-08-26,Tomas RAVANAL,39,CHI,33
33009,IFSC Climbing Worldcup (L) - Briançon (FRA) 2017,37,MEN,2017-07-29,Tomas RAVANAL,39,CHI,33
33010,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,32,MEN,2017-07-13,Tomas RAVANAL,39,CHI,33
33011,IFSC Climbing World Championships - Paris (FRA) 2016,35,MEN,2016-09-18,Tomas RAVANAL,39,CHI,32
33012,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",17,MEN,2016-08-27,Tomas RAVANAL,39,CHI,32
33013,IFSC Climbing Worldcup (L) - Imst (AUT) 2016,14,MEN,2016-08-20,Tomas RAVANAL,39,CHI,32
33014,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,48,MEN,2016-07-23,Tomas RAVANAL,39,CHI,32
33015,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",38,MEN,2016-07-16,Tomas RAVANAL,39,CHI,32
33016,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",24,MEN,2016-07-12,Tomas RAVANAL,39,CHI,32
33017,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,53,MEN,2015-07-18,Tomas RAVANAL,39,CHI,31
33018,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",36,MEN,2015-07-12,Tomas RAVANAL,39,CHI,31
33019,"IFSC Climbing World Championship (L, S) - Gijon (ESP) 2014",49,MEN,2014-09-14,Tomas RAVANAL,39,CHI,30
33020,IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,17,MEN,2013-09-21,Tomas RAVANAL,39,CHI,29
33021,"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2013",15,MEN,2013-09-06,Tomas RAVANAL,39,CHI,29
33022,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,24,MEN,2013-08-10,Tomas RAVANAL,39,CHI,29
33023,IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,43,MEN,2013-07-20,Tomas RAVANAL,39,CHI,29
33024,IFSC Climbing World Championship - Paris (FRA) 2012,47,MEN,2012-09-16,Tomas RAVANAL,39,CHI,28
33025,"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2012",11,MEN,2012-09-02,Tomas RAVANAL,39,CHI,28
33026,"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2012",4,MEN,2012-08-31,Tomas RAVANAL,39,CHI,28
33027,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,44,MEN,2012-08-11,Tomas RAVANAL,39,CHI,28
33028,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,45,MEN,2012-07-21,Tomas RAVANAL,39,CHI,28
33029,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",47,MEN,2012-07-13,Tomas RAVANAL,39,CHI,28
33030,IFSC Climbing Worldcup (L) - Briançon (FRA) 2011,22,MEN,2011-07-30,Tomas RAVANAL,39,CHI,27
33031,IFSC Climbing World Championships - Arco (ITA) 2011,39,MEN,2011-07-24,Tomas RAVANAL,39,CHI,27
33032,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",35,MEN,2011-07-13,Tomas RAVANAL,39,CHI,27
33033,"Lead International Event, Open International - Briancon (FRA) 2010",23,MEN,2010-07-31,Tomas RAVANAL,39,CHI,26
33034,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",46,MEN,2010-07-13,Tomas RAVANAL,39,CHI,26
33035,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,34,JUNIORS MALE,2023-09-16,Tomass DILANS,18,LAT,18
33036,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",28,JUNIORS MALE,2023-07-02,Tomass DILANS,18,LAT,18
33037,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,23,JUNIORS MALE,2023-06-25,Tomass DILANS,18,LAT,18
33038,"IFSC Europe - Continental Youth Championship (L,S) - Augsburg (GER) 2022",40,YOUTH A MALE,2022-07-10,Tomass DILANS,18,LAT,17
33039,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",40,YOUTH A MALE,2021-08-31,Tomass DILANS,18,LAT,16
33040,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",27,YOUTH A MALE,2021-07-04,Tomass DILANS,18,LAT,16
33041,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",36,YOUTH A MALE,2021-05-05,Tomass DILANS,18,LAT,16
33042,"IFSC Europe - Continental Youth Cup (L,S) - Zilina (SVK) 2021",13,YOUTH B MALE,2021-07-31,Tomasz DUDEK,16,POL,14
33043,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2021",34,YOUTH B MALE,2021-06-13,Tomasz DUDEK,16,POL,14
33044,IFSC Europe - Continental Youth Cup (L) - Augsburg (GER) 2020,28,YOUTH B MALE,2020-09-18,Tomasz DUDEK,16,POL,13
33045,IFSC European Championship - Paris (FRA) 2008,33,MEN,2008-10-18,Tomasz OLEKSY,47,POL,32
33046,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,49,MEN,2008-07-13,Tomasz OLEKSY,47,POL,32
33047,UIAA Climbing Worldcup (L+S) - Chamonix (FRA) 2006,38,MEN,2006-07-13,Tomasz OLEKSY,47,POL,30
33048,UIAA Climbing Worldcup (L+S) - Dresden (GER) 2006,33,MEN,2006-05-20,Tomasz OLEKSY,47,POL,30
33049,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,24,MEN,2005-07-13,Tomasz OLEKSY,47,POL,29
33050,UIAA Worldcup (L) - Imst (AUT) 2005,30,MEN,2005-05-27,Tomasz OLEKSY,47,POL,29
33051,UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,14,MEN,2005-04-25,Tomasz OLEKSY,47,POL,29
33052,UIAA Worldcup - Shanghai (CHN) 2004,15,MEN,2004-10-02,Tomasz OLEKSY,47,POL,28
33053,UIAA Worldcup - Chamonix (FRA) 2000,17,MEN,2000-07-12,Tomasz OLEKSY,47,POL,24
33054,UIAA Worldcup - Kranj (SLO) 1999,26,MEN,1999-11-12,Tomasz OLEKSY,47,POL,23
33055,UIAA Worldcup - Besancon (FRA) 1999,11,MEN,1999-06-10,Tomasz OLEKSY,47,POL,23
33056,UIAA Worldcup - Leipzig (GER) 1999,40,MEN,1999-05-28,Tomasz OLEKSY,47,POL,23
33057,UIAA Worldcup - Kranj (SLO) 1998,36,MEN,1998-11-14,Tomasz OLEKSY,47,POL,22
33058,UIAA Worldcup - Milan (ITA) 1998,29,MEN,1998-10-09,Tomasz OLEKSY,47,POL,22
33059,UIAA European Championship - Nürnberg (GER) 1998,21,MEN,1998-04-03,Tomasz OLEKSY,47,POL,22
33060,UIAA Worldcup - Imst 1997,35,MEN,1997-11-22,Tomasz OLEKSY,47,POL,21
33061,UIAA Worldcup - Kranj 1997,50,MEN,1997-11-09,Tomasz OLEKSY,47,POL,21
33062,UIAA Worldcup - Prag 1997,22,MEN,1997-10-24,Tomasz OLEKSY,47,POL,21
33063,UIAA World Championchip - Paris 1997,51,MEN,1997-02-01,Tomasz OLEKSY,47,POL,21
33064,UIAA Worldcup - Graz 1996,53,MEN,1996-12-15,Tomasz OLEKSY,47,POL,20
33065,UIAA Worldcup - Ekaterinburg 1996,47,MEN,1996-09-19,Tomasz OLEKSY,47,POL,20
33066,European Championship - Paris 1996,49,MEN,1996-01-28,Tomasz OLEKSY,47,POL,20
33067,UIAA Worldcup - Moscow 1995,45,MEN,1995-10-22,Tomasz OLEKSY,47,POL,19
33068,UIAA Youth Worldchampionship - Laval 1995,17,JUNIORS MALE,1995-10-06,Tomasz OLEKSY,47,POL,19
33069,UIAA Worldchampionchip - Genève 1995,75,MEN,1995-05-06,Tomasz OLEKSY,47,POL,19
33070,World University Championships - Bratislava (SVK) 2018,52,MEN,2018-06-23,Tomasz SORDYL,28,POL,23
33071,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI) 2022,8,YOUTH A MALE,2022-06-26,Tomer YAKOBOVITCH,17,ISR,16
33072,IFSC European Cup Žilina 2023,32,MEN,2023-07-22,Tommaso LAMBOGLIA,18,ITA,18
33073,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",19,JUNIORS MALE,2023-07-02,Tommaso LAMBOGLIA,18,ITA,18
33074,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,20,JUNIORS MALE,2023-06-25,Tommaso LAMBOGLIA,18,ITA,18
33075,IFSC Europe - Continental Youth Cup (L) - Niederwangen (SUI) 2023,15,JUNIORS MALE,2023-06-18,Tommaso LAMBOGLIA,18,ITA,18
33076,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,29,YOUTH B MALE,2023-06-25,Tommaso MILANESE,15,ITA,15
33077,"European Youth Cup (L,S) - Voiron (FRA) 2018",17,JUNIORS MALE,2018-04-08,Tommy GEORGE,23,FRA,18
33078,IFSC World Championships Bern 2023,12,MEN,2023-08-12,Tomoa NARASAKI,27,JPN,27
33079,IFSC World Cup Innsbruck 2023,15,MEN,2023-06-18,Tomoa NARASAKI,27,JPN,27
33080,"IFSC Asia - Continental Championships (B, L, S, B&amp;L) - Republic of Korea 2022",1,MEN,2022-10-16,Tomoa NARASAKI,27,JPN,26
33081,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",5,MEN,2021-09-21,Tomoa NARASAKI,27,JPN,25
33082,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",9,MEN,2021-06-26,Tomoa NARASAKI,27,JPN,25
33083,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",3,MEN,2019-10-20,Tomoa NARASAKI,27,JPN,23
33084,IFSC Climbing World Championships - Hachioji (JPN) 2019,4,MEN,2019-08-21,Tomoa NARASAKI,27,JPN,23
33085,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",28,MEN,2019-07-13,Tomoa NARASAKI,27,JPN,23
33086,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",6,MEN,2019-07-06,Tomoa NARASAKI,27,JPN,23
33087,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",11,MEN,2018-10-28,Tomoa NARASAKI,27,JPN,22
33088,IFSC Climbing World Championships - Innsbruck (AUT) 2018,13,MEN,2018-09-16,Tomoa NARASAKI,27,JPN,22
33089,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",12,MEN,2018-07-13,Tomoa NARASAKI,27,JPN,22
33090,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",3,MEN,2018-07-07,Tomoa NARASAKI,27,JPN,22
33091,China Open - Guangzhou (CHN) 2017,9,MEN,2017-11-19,Tomoa NARASAKI,27,JPN,21
33092,China Open Qualification - Guangzhou (CHN) 2017,1,MEN,2017-11-17,Tomoa NARASAKI,27,JPN,21
33093,IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,25,MEN,2017-11-12,Tomoa NARASAKI,27,JPN,21
33094,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2,MEN,2017-10-15,Tomoa NARASAKI,27,JPN,21
33095,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",2,MEN,2017-10-08,Tomoa NARASAKI,27,JPN,21
33096,Asian Continental Championships - Tehran (IRI) 2017,26,MEN,2017-09-21,Tomoa NARASAKI,27,JPN,21
33097,IFSC World Youth Championships - Arco (ITA) - 2015,8,JUNIORS MALE,2015-09-06,Tomoa NARASAKI,27,JPN,19
33098,IFSC Climbing Worldcup (L) - Valence (FRA) 2013,24,MEN,2013-11-02,Tomoa NARASAKI,27,JPN,17
33099,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",23,MEN,2013-10-12,Tomoa NARASAKI,27,JPN,17
33100,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,33,MEN,2013-08-10,Tomoa NARASAKI,27,JPN,17
33101,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,31,MEN,2012-10-28,Tomoa NARASAKI,27,JPN,16
33102,IFSC World Youth Championship - Singapore (SIN) - 2012,4,YOUTH A MALE,2012-09-01,Tomoa NARASAKI,27,JPN,16
33103,Asian Youth Championship - Singapore (SGP) 2011,2,YOUTH B MALE,2011-07-30,Tomoa NARASAKI,27,JPN,15
33104,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",21,MEN,2021-09-21,Tomoaki TAKATA,28,JPN,26
33105,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,29,MEN,2019-07-20,Tomoaki TAKATA,28,JPN,24
33106,International Climbing Series - China Open - Guangzhou (CHN) 2018,11,MEN,2018-11-18,Tomoaki TAKATA,28,JPN,23
33107,International Climbing Series - China Open Semifinals &amp; Finals - Guanzhou (CHN) 2018,11,MEN,2018-11-17,Tomoaki TAKATA,28,JPN,23
33108,Asian Championships - Kurayoshi (JPN) 2018,3,MEN,2018-11-11,Tomoaki TAKATA,28,JPN,23
33109,IFSC Climbing World Championships - Innsbruck (AUT) 2018,6,MEN,2018-09-16,Tomoaki TAKATA,28,JPN,23
33110,Asian Continental Championship - Ningbo (CHN) 2015,8,MEN,2015-11-24,Tomoaki TAKATA,28,JPN,20
33111,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,19,MEN,2015-11-15,Tomoaki TAKATA,28,JPN,20
33112,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",27,MEN,2015-10-18,Tomoaki TAKATA,28,JPN,20
33113,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,28,MEN,2015-09-27,Tomoaki TAKATA,28,JPN,20
33114,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,26,MEN,2015-08-22,Tomoaki TAKATA,28,JPN,20
33115,IFSC Climbing Worldcup (L) - Imst (AUT) 2015,20,MEN,2015-08-01,Tomoaki TAKATA,28,JPN,20
33116,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,29,MEN,2015-07-18,Tomoaki TAKATA,28,JPN,20
33117,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",27,MEN,2015-07-12,Tomoaki TAKATA,28,JPN,20
33118,Asian Youth Championship - Surabaya (INA) 2013,2,JUNIORS MALE,2013-12-14,Tomoaki TAKATA,28,JPN,18
33119,IFSC World Youth Championship - Central Saanich (CAN) - 2013,12,JUNIORS MALE,2013-08-19,Tomoaki TAKATA,28,JPN,18
33120,Asian Youth Championship - Hamedan (IRI) 2012,3,YOUTH A MALE,2012-07-13,Tomoaki TAKATA,28,JPN,17
33121,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",33,MEN,2017-09-24,Tomoki MUSHA,25,JPN,19
33122,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,17,MEN,2016-11-27,Tomoki MUSHA,25,JPN,18
33123,"IFSC Asia - Continental Youth Championships (B, S, L, B&amp;L) - Chongqing (CHN) 2023",1,JUNIORS FEMALE,2023-10-22,Tomona TAKAO,19,JPN,19
33124,IFSC Youth World Championships Seoul 2023,2,JUNIORS FEMALE,2023-08-27,Tomona TAKAO,19,JPN,19
33125,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,17,WOMEN,2021-09-04,Tomona TAKAO,19,JPN,17
33126,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",30,WOMEN,2021-07-03,Tomona TAKAO,19,JPN,17
33127,IFSC Paraclimbing World Championship - Gijon (ESP) 2014,9,MEN AL2,2014-09-14,Tomoyuki OTSUKI,53,JPN,44
33128,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,12,YOUTH B MALE,2023-09-16,Tomy ADAMOVSKY,14,ISR,14
33129,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",17,YOUTH B MALE,2023-07-02,Tomy ADAMOVSKY,14,ISR,14
33130,"IFSC Europe - Continental Youth Championship (L,S) - Augsburg (GER) 2022",32,YOUTH B MALE,2022-07-10,Tomy ADAMOVSKY,14,ISR,13
33131,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI) 2022,12,YOUTH B MALE,2022-06-26,Tomy ADAMOVSKY,14,ISR,13
33132,CISM Winter Military World Games - Courmayeur (ITA) 2010,4,MEN,2010-03-22,Tomás MRÁZEK,41,CZE,28
33133,IFSC Climbing Worldcup (L) - Brno (CZE) 2009,3,MEN,2009-11-07,Tomás MRÁZEK,41,CZE,27
33134,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2009,6,MEN,2009-09-06,Tomás MRÁZEK,41,CZE,27
33135,IFSC Climbing Worldcup (L) - Imst (AUT) 2009,23,MEN,2009-08-22,Tomás MRÁZEK,41,CZE,27
33136,IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,9,MEN,2009-08-09,Tomás MRÁZEK,41,CZE,27
33137,IFSC Climbing World Championships - Qinghai (CHN) 2009,18,MEN,2009-07-05,Tomás MRÁZEK,41,CZE,27
33138,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4,MEN,2008-11-16,Tomás MRÁZEK,41,CZE,26
33139,IFSC European Championship - Paris (FRA) 2008,2,MEN,2008-10-18,Tomás MRÁZEK,41,CZE,26
33140,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,2,MEN,2008-09-27,Tomás MRÁZEK,41,CZE,26
33141,IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5,MEN,2008-09-20,Tomás MRÁZEK,41,CZE,26
33142,IFSC Climbing Worldcup (L) - Bern (SUI) 2008,3,MEN,2008-09-13,Tomás MRÁZEK,41,CZE,26
33143,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2008,3,MEN,2008-09-07,Tomás MRÁZEK,41,CZE,26
33144,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,4,MEN,2008-07-13,Tomás MRÁZEK,41,CZE,26
33145,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,1,MEN,2008-06-28,Tomás MRÁZEK,41,CZE,26
33146,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,3,MEN,2007-11-18,Tomás MRÁZEK,41,CZE,25
33147,IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,1,MEN,2007-10-14,Tomás MRÁZEK,41,CZE,25
33148,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007,8,MEN,2007-09-29,Tomás MRÁZEK,41,CZE,25
33149,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,3,MEN,2007-09-23,Tomás MRÁZEK,41,CZE,25
33150,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,3,MEN,2007-09-09,Tomás MRÁZEK,41,CZE,25
33151,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,1,MEN,2007-08-12,Tomás MRÁZEK,41,CZE,25
33152,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,8,MEN,2007-07-13,Tomás MRÁZEK,41,CZE,25
33153,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,9,MEN,2007-06-16,Tomás MRÁZEK,41,CZE,25
33154,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,2,MEN,2007-05-12,Tomás MRÁZEK,41,CZE,25
33155,UIAA Worldcup (L) - Kranj (SLO) 2006,13,MEN,2006-11-19,Tomás MRÁZEK,41,CZE,24
33156,UIAA Climbing Worldcup (L) - Penne (ITA) 2006,3,MEN,2006-11-12,Tomás MRÁZEK,41,CZE,24
33157,UIAA Climbing Worldcup (L+S) - Shanghai (CHN) 2006,1,MEN,2006-10-03,Tomás MRÁZEK,41,CZE,24
