,name,n_comps,first_comp,last_comp,years_comp,class
336,Roman KOSTIAKOV,2.0,2011-07-18,2018-09-16,2617 days,MEN B1
337,Ronald DICKSON,5.0,2012-09-16,2023-05-18,3896 days,MEN AL2
338,Rosalie SCHAUPERT,7.0,2022-05-26,2023-08-10,441 days,WOMEN RP3
339,Roxane HEILI,16.0,2012-09-16,2023-06-24,3933 days,WOMEN VISUAL IMPAIRMENT
340,Roy LEMKE,6.0,2016-09-18,2019-07-17,1032 days,MEN RP2
341,Russell HARRISON,1.0,2019-07-17,2019-07-17,0 days,MEN RP2
342,Ryan JUGUAN,2.0,2018-09-16,2019-07-17,304 days,MEN RP2
343,Ryota HIRAI,1.0,2023-08-10,2023-08-10,0 days,MEN AL1
344,Sabine LADEL,4.0,2017-07-26,2018-07-18,357 days,WOMEN B3
345,Sandra POLLAK,7.0,2017-07-09,2022-06-22,1809 days,WOMEN RP2
346,Sarah BELANGER,2.0,2022-05-26,2022-06-22,27 days,WOMEN RP3
347,Sarah LARCOMBE,7.0,2022-05-26,2023-08-10,441 days,WOMEN AL2
348,Savannah SHANTON,1.0,2018-09-16,2018-09-16,0 days,WOMEN AL-2
349,Scott BAIRD,1.0,2018-09-16,2018-09-16,0 days,MEN RP3
350,Scott BLACKBURN,1.0,2018-09-16,2018-09-16,0 days,MEN RP3
351,Sebastian DEPKE,13.0,2017-07-26,2023-08-10,2206 days,MEN RP1
352,Sebastian HORN,3.0,2022-06-22,2023-08-10,414 days,MEN RP1
353,Sebastian MENZE,7.0,2021-06-24,2023-08-10,777 days,MEN AL2
354,Sebastian MUSSON,2.0,2023-06-13,2023-08-10,58 days,MEN AU2
355,Sebastian SCHMITZ,5.0,2022-07-09,2023-08-10,397 days,MEN B3
356,Seneida BIENDARRA,2.0,2023-05-18,2023-08-10,84 days,WOMEN B3
357,Serge LAURENCIN,11.0,2013-07-13,2023-06-24,3633 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
358,Sergei IANKIN,1.0,2021-09-17,2021-09-17,0 days,MEN RP3
359,Sergei SHARAPOV,1.0,2021-09-17,2021-09-17,0 days,MEN B3
360,Sergey PYNKA,1.0,2012-09-16,2012-09-16,0 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
361,Sergio ASENSIO RUÍZ,2.0,2019-07-17,2021-06-24,708 days,MEN RP3
362,Shamus BOULIANNE,6.0,2021-10-11,2023-08-10,668 days,MEN RP3
363,Shawn STURGIS,1.0,2016-09-18,2016-09-18,0 days,MEN B1
364,Sheila RACAJ FERRON,3.0,2022-06-22,2023-06-13,356 days,WOMEN RP3
365,Sho AITA,11.0,2012-09-16,2023-08-10,3980 days,MEN B2
366,Shuhei YUKI,6.0,2019-07-17,2023-08-10,1485 days,MEN AL2
367,Sianagh GALLAGHER,11.0,2013-07-13,2016-07-17,1100 days,WOMEN ARTHRITIS+NEUROLOGICAL PD
368,Simon TAUDES,1.0,2017-07-09,2017-07-09,0 days,MEN RP1
369,Simone SALVAGNIN,22.0,2011-07-18,2023-08-10,4406 days,MEN B2
370,Sirlene GARBACCIO BOGIN,3.0,2014-08-29,2016-07-17,688 days,WOMEN AU2
371,Solenne PIRET,13.0,2018-07-18,2023-08-10,1849 days,WOMEN RP2
372,Solveig GRAVDAL,1.0,2022-06-22,2022-06-22,0 days,WOMEN AU2
373,Stephen SATTEL,1.0,2022-05-26,2022-05-26,0 days,MEN RP3
374,Steven HINSON,3.0,2019-07-17,2021-10-11,817 days,MEN AL2
375,Stuart SNEDDON,5.0,2019-07-17,2023-08-10,1485 days,MEN AL2
376,Sujatha MANCHIPATTANA KRISHNEGOWDA,1.0,2021-09-17,2021-09-17,0 days,WOMEN B2
377,Sulivan THUER,3.0,2023-05-18,2023-08-10,84 days,MEN AL1
378,Sunita DHONDAPPANAVAR,2.0,2021-09-17,2023-08-10,692 days,WOMEN B3
379,Sunny YANG,7.0,2019-07-17,2023-08-10,1485 days,MEN RP1
380,Tadashi TAKANO,4.0,2019-07-17,2023-08-10,1485 days,MEN RP3
381,Takehiko OTANI,2.0,2022-06-22,2023-08-10,414 days,MEN AU1
382,Takuya OKADA,6.0,2021-09-17,2023-08-10,692 days,MEN RP2
383,Tanja GLUSIC,25.0,2013-09-06,2023-08-10,3625 days,WOMEN B2
384,Tanner CISLAW,7.0,2019-07-17,2023-08-10,1485 days,MEN AL1
385,Tanner JONES,1.0,2022-05-26,2022-05-26,0 days,MEN AL2
386,Tatiana CRENSHAW,2.0,2018-09-16,2019-07-17,304 days,WOMEN RP3
387,Terry HODDINOTT,1.0,2023-05-18,2023-05-18,0 days,MEN B1
388,Thierry DELARUE,9.0,2018-07-18,2023-08-10,1849 days,MEN AL2
389,Thomas MEIER,18.0,2012-09-16,2023-06-24,3933 days,MEN AL2
390,Tim SCHAFFRINNA,11.0,2019-07-17,2023-08-10,1485 days,MEN RP1
391,Timur ABDURASHITOV,1.0,2021-09-17,2021-09-17,0 days,MEN RP3
392,Tiziana PAOLINI,9.0,2014-08-29,2019-07-17,1783 days,WOMEN NEUROLOGICAL PHYSICAL DISABILITY A
393,Tomoyuki OTSUKI,1.0,2014-09-14,2014-09-14,0 days,MEN AL2
394,Trevor SMITH,3.0,2018-09-16,2022-05-26,1348 days,MEN AU2
395,Tânia CHAVES,8.0,2019-07-17,2023-08-10,1485 days,WOMEN AL-2
396,Urko CARMONA BARANDIARAN,29.0,2011-07-18,2023-08-10,4406 days,MEN AL2
397,Valentin-laurentiu MOISE,5.0,2021-06-24,2022-07-09,380 days,MEN B2
398,Vasile-valentin ANDRIES,1.0,2021-09-17,2021-09-17,0 days,MEN B2
399,Vasiliy RAGOZIN,1.0,2021-09-17,2021-09-17,0 days,MEN AU2
400,Vladimir NETSVETAEV-DOLGALEV,2.0,2014-08-29,2016-09-18,751 days,MEN NEUROLOGICAL PHYSICAL DISABILITY A
401,Vladimir PYZIN,1.0,2021-09-17,2021-09-17,0 days,MEN AL2
402,Wasif SHAMS,4.0,2022-05-26,2023-05-18,357 days,MEN RP2
403,Wendy ONG,2.0,2014-09-14,2016-09-18,735 days,WOMEN NEUROLOGICAL PHYSICAL DISABILITY A
404,Whiteny PESEK,1.0,2018-09-16,2018-09-16,0 days,WOMEN B2
405,William LOWARY,2.0,2014-09-14,2018-09-16,1463 days,MEN B1
406,Yaniv AGA,2.0,2018-09-16,2019-07-17,304 days,MEN RP3
407,Yasunori YAMAZAKI,1.0,2017-10-08,2017-10-08,0 days,MEN B2
408,Yulduz MAKHMUDOVA,1.0,2021-09-17,2021-09-17,0 days,WOMEN RP3
409,Yumi EJIRI,4.0,2018-09-16,2023-08-10,1789 days,WOMEN B2
410,Yuri STAROVOYTOV,3.0,2015-06-28,2016-09-18,448 days,MEN NEUROLOGICAL PHYSICAL DISABILITY B
411,Yuto KAWAI,1.0,2016-09-18,2016-09-18,0 days,MEN B1
